,city,country,latitude,longitude,date,temperature,humidity,cloudiness,windspeed
354,Moa,CU,20.6569,-74.9403,,25.11,85,53,2.85
355,Oistins,BB,13.0667,-59.5333,,27.05,74,40,10.29
356,Santiago de Cuba,CU,20.0247,-75.8219,,22.99,95,53,0.85
357,Naples,IT,40.8333,14.25,,18.48,63,40,3.13
358,Pimampiro,EC,0.4,-77.9667,,14.26,96,65,0.49
359,El Bagre,CO,7.5927,-74.8086,,22.61,100,97,0.08
360,San Carlos,VE,9.6612,-68.5827,,21.73,94,86,1.43
361,Santa Rosa,PH,14.3122,121.1114,,26.45,84,92,4.62
362,Palmas Bellas,PA,9.2319,-80.0867,,24.86,93,55,1.94
363,Macará,EC,-4.3833,-79.95,,20.87,79,19,0.62
364,Distrikt Brokopondo,SR,4.75,-55.1667,,24.5,93,82,3.14
365,Gurupá,BR,-1.405,-51.64,,24.05,91,78,1.18
366,Presidente Epitácio,BR,-21.7633,-52.1156,,18.21,89,41,1.94
367,Tucupita,VE,9.0622,-62.051,,22.24,100,96,1.03
368,Machachi,EC,-0.5,-78.5667,,8.75,98,84,0.78
369,West Bay,KY,19.3667,-81.4167,,27.86,84,62,1.34
370,Andahuaylas,PE,-13.6556,-73.3872,,10.62,90,31,0.6
371,Bahía Honda,CU,22.9036,-83.1592,,25.82,92,100,3.45
372,Bluefields,NI,12.0137,-83.7635,,23.96,95,48,1.65
373,Tingo María,PE,-9.2895,-76.0088,,21.51,93,96,0.44
374,La Esperanza,GT,14.8667,-91.5667,,11.29,83,86,1.74
375,Campo Verde,BR,-20.4167,-54.0667,,16.56,86,28,2.32
376,Bayonet Point,US,28.3267,-82.6834,,23.06,92,100,5.36
377,Belize,BZ,17.25,-88.75,,24.18,98,30,0.46
378,Nicolás Bravo,MX,18.45,-88.9167,,24.04,99,87,1.12
379,Quilmaná,PE,-12.95,-76.3833,,16.94,80,39,2.16
380,Timbiquí,CO,2.7717,-77.6654,,23.1,96,77,1.37
381,Villa Sandino,NI,12.0483,-84.9936,,21.34,98,28,2.13
382,Rondonópolis,BR,-16.4708,-54.6356,,21.9,93,99,0.39
383,Teodoro Sampaio,BR,-22.5325,-52.1675,,18.16,91,76,4.63
384,São Borja,BR,-28.6606,-56.0044,,11.08,74,0,2.93
